post_id,row_index,lat,lon,lat_header,lon_header,city,state,country,country_code,display_name
441,1,1.441968,38.431398,Project main location.lat,Project main location.lon,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
444,4,1.441968,38.431398,Project main location.lat,Project main location.lon,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
450,10,1.441968,38.431398,Project main location.lat,Project main location.lon,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
462,22,1.441968,38.431398,Project main location.lat,Project main location.lon,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
573,133,1.441968,38.431398,Project main location.lat,Project main location.lon,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
652,206,1.441968,38.431398,Project main location.lat,Project main location.lon,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
659,213,1.441968,38.431398,Project main location.lat__2,Project main location.lon__2,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
667,221,1.441968,38.431398,Project main location.lat,Project main location.lon,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
680,234,1.441968,38.431398,Project main location.lat__2,Project main location.lon__2,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
705,259,1.441968,38.431398,Project main location.lat__2,Project main location.lon__2,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
706,260,1.441968,38.431398,Project main location.lat__2,Project main location.lon__2,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
707,261,1.441968,38.431398,Project main location.lat__2,Project main location.lon__2,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
709,263,1.441968,38.431398,Project main location.lat,Project main location.lon,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
710,264,1.441968,38.431398,Project main location.lat__2,Project main location.lon__2,Merti,Isiolo,Kenya,KE,"Merti, Isiolo, Kenya"
442,2,9.600036,7.999972,Project main location.lat,Project main location.lon,Kurmin Musa,Kaduna State,Nigeria,NG,"Kurmin Musa, Kachia, Kaduna State, Nigeria"
447,7,9.600036,7.999972,Project main location.lat,Project main location.lon,Kurmin Musa,Kaduna State,Nigeria,NG,"Kurmin Musa, Kachia, Kaduna State, Nigeria"
451,11,9.600036,7.999972,Project main location.lat,Project main location.lon,Kurmin Musa,Kaduna State,Nigeria,NG,"Kurmin Musa, Kachia, Kaduna State, Nigeria"
452,12,9.600036,7.999972,Project main location.lat,Project main location.lon,Kurmin Musa,Kaduna State,Nigeria,NG,"Kurmin Musa, Kachia, Kaduna State, Nigeria"
458,18,9.600036,7.999972,Project main location.lat,Project main location.lon,Kurmin Musa,Kaduna State,Nigeria,NG,"Kurmin Musa, Kachia, Kaduna State, Nigeria"
491,51,9.600036,7.999972,Project main location.lat,Project main location.lon,Kurmin Musa,Kaduna State,Nigeria,NG,"Kurmin Musa, Kachia, Kaduna State, Nigeria"
507,67,9.600036,7.999972,Project main location.lat,Project main location.lon,Kurmin Musa,Kaduna State,Nigeria,NG,"Kurmin Musa, Kachia, Kaduna State, Nigeria"
